FAO_commodity,pooled_commodity,ISSCAAP_division,ISSCAAP_group,group_for_pairing,exvessel_estimated
"Salmonoids nei, smoked",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids, fresh or chilled, nei",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids, frozen",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids, meat, frozen",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids, minced, preparations",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids, not minced, prepared or preserved",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids, salted or in brine",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids, smoked",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Smelt, fresh or chilled",Smelts,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Smelts, frozen",Smelts,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Sockeye salmon (red salmon)(Oncorhynchus nerka), frozen",Sockeye salmon (red salmon)(Oncorhynchus nerka),DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Sockeye salmon, not minced, prepared or preserved, nei",Sockeye salmon (red salmon)(Oncorhynchus nerka),DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Trout fillets, fresh and chilled",Trouts,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Trout fillets, frozen",Trouts,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Trouts, dried, salted",Trouts,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Trouts, meat, frozen",Trouts,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Trouts, not minced, prepared or preserved",Trouts,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Trouts, salted or in brine",Trouts,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
Trouts and chars live,Trouts and chars,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Trouts and chars, fresh or chilled",Trouts and chars,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Trouts and chars, frozen",Trouts and chars,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Trouts and chars, smoked",Trouts and chars,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Whitefishes, fresh or chilled",Whitefishes,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Whitefishes, frozen",Whitefishes,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Alewife, dried, salted or in brine",Alewife,DIADROMOUS FISHES,Shads,Shads,1
"Shads, nei, fresh or chilled",Shads,DIADROMOUS FISHES,Shads,Shads,1
Caviar,Sturgeons and caviar,DIADROMOUS FISHES,"Sturgeons, paddlefishes","Sturgeons, paddlefishes",1
"Sturgeons, fresh or chilled",Sturgeons and caviar,DIADROMOUS FISHES,"Sturgeons, paddlefishes","Sturgeons, paddlefishes",1
"Carp fillets, fresh or chilled",Carps,FRESHWATER FISHES,"Carps, barbels and other cyprinids","Carps, barbels and other cyprinids",1
Carps live,Carps,FRESHWATER FISHES,"Carps, barbels and other cyprinids","Carps, barbels and other cyprinids",1
"Carps, fresh or chilled",Carps,FRESHWATER FISHES,"Carps, barbels and other cyprinids","Carps, barbels and other cyprinids",1
"Carps, frozen",Carps,FRESHWATER FISHES,"Carps, barbels and other cyprinids","Carps, barbels and other cyprinids",1
"Carps, eels and snakeheads, fillets, fresh or chilled",Misc. freshwater fishes,FRESHWATER FISHES,"Carps, barbels and other cyprinids","Carps, barbels and other cyprinids",1
"Carps, eels and snakeheads, fillets, frozen",Misc. freshwater fishes,FRESHWATER FISHES,"Carps, barbels and other cyprinids","Carps, barbels and other cyprinids",1
"Meat of tilapias, catfish, carp, eels, nile perch and snakeheads, fresh or chilled",Misc. freshwater fishes,FRESHWATER FISHES,"Carps, barbels and other cyprinids","Carps, barbels and other cyprinids",1
"Catfish  meat, frozen",Catfish,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Catfish fillets, fresh or chilled",Catfish,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Catfish fillets, frozen",Catfish,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Catfish steaks, frozen",Catfish,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Catfish, fresh or chilled",Catfish,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Catfish, frozen",Catfish,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Freshwater fish fillets in blocks, frozen nei",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Freshwater fish fillets, fresh or chilled, nei",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Freshwater fish fillets, nei, frozen",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Freshwater fish meat, whether or not minced, fresh or chilled, nei",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Freshwater fish meat, whether or not minced, frozen, nei",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Freshwater fish nei prepared or preserved, minced",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Freshwater fish nei, fillets, dried, salted, or in brine",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Freshwater fish nei, frozen",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Freshwater fish nei, live",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Freshwater fish, dried, whether or not salted, not smoked, nei",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Freshwater fish, nei, fresh or chilled",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Freshwater fishes nei, dried, salted, or in brine",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Freshwater fishes nei, frozen",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Freshwater fishes nei, smoked",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Freshwater fishes, dried, whether or not salted, nei",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Freshwater fishes, nei, fresh or chilled",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Miscellaneous freshwater fish nei, salted and in brine",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Miscellaneous freshwater fish, prepared or preserved, not minced, nei",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Miscellaneous freshwater fish, smoked",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Miscellaneous freshwater fishes nei, salted and in brine",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Miscellaneous freshwater fishes, prepared or preserved, not minced, nei",Misc. freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Nile perch (Lates niloticus) and snakeheads (Channa spp.), frozen",Nile perch,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Nile perch and snakeheads (Channa spp.),  fresh or chilled",Nile perch,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Nile perch fillets, fresh or chilled",Nile perch,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Nile perch fillets, frozen",Nile perch,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
Ornamental freshwater fish,Ornamental freshwater fishes,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Perch fillets, fresh or chilled",Perch,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Perch, fresh or chilled",Perch,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Pike, fresh or chilled",Pike,FRESHWATER FISHES,Miscellaneous freshwater fishes,Miscellaneous freshwater fishes,1
"Tilapia, catfish, carp, eel, Nile perch and snakeheads, fillets, dried/salted/brine, not smoked",Misc. freshwater fishes,FRESHWATER FISHES,Tilapias and other cichlids,Tilapias and other cichlids,1
"Tilapias, catfish, carp, eels, Nile perch and snakeheads  meat, frozen",Misc. freshwater fishes,FRESHWATER FISHES,Tilapias and other cichlids,Tilapias and other cichlids,1
"Tilapias, catfish, carp, eels, Nile perch and snakeheads, including fillets, smoked",Misc. freshwater fishes,FRESHWATER FISHES,Tilapias and other cichlids,Tilapias and other cichlids,1
"Tilapias, catfish, carp, eels, Nile perch and snakeheads, salted or in brine",Misc. freshwater fishes,FRESHWATER FISHES,Tilapias and other cichlids,Tilapias and other cichlids,1
"Tilapia fillets, fresh or chilled",Tilapias,FRESHWATER FISHES,Tilapias and other cichlids,Tilapias and other cichlids,1
"Tilapia fillets, frozen",Tilapias,FRESHWATER FISHES,Tilapias and other cichlids,Tilapias and other cichlids,1
"Tilapias prepared or preserved, not minced",Tilapias,FRESHWATER FISHES,Tilapias and other cichlids,Tilapias and other cichlids,1
"Tilapias, fresh or chilled",Tilapias,FRESHWATER FISHES,Tilapias and other cichlids,Tilapias and other cichlids,1
"Tilapias, frozen",Tilapias,FRESHWATER FISHES,Tilapias and other cichlids,Tilapias and other cichlids,1
"Alaska pollack fillets, frozen",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollack meat, whether or not minced, frozen",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollack roes, frozen",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollack roes, pickled",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollack, dried, unsalted",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska Pollack, fresh or chilled",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollack, frozen",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollack, meat, whether or not minced, frozen",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollack, not minced, prepared or preserved",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollack, roes, frozen",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollack, roes, pickled",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollock fillets, frozen",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollock meat, whether or not minced, frozen",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollock roes, frozen",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollock roes, pickled",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollock, dried, unsalted",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska Pollock, fresh or chilled",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollock, frozen",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollock, meat, whether or not minced, frozen",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollock, not minced, prepared or preserved",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollock, roes, frozen",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Alaska pollock, roes, pickled",Alaska pollock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Argentine hake, fresh or chilled",Argentine hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Argentinian hake fillets, fresh or chilled",Argentine hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Argentinian hake fillets, frozen",Argentine hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Argentinian hake, frozen",Argentine hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Atlantic cod fillets in blocks, frozen",Atlantic cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Atlantic cod fillets, fresh or chilled",Atlantic cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Atlantic cod fillets, frozen",Atlantic cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Atlantic cod, fillets in blocks, frozen",Atlantic cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Atlantic cod, fillets, fresh or chilled",Atlantic cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Atlantic cod, fresh or chilled",Atlantic cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Atlantic cod, frozen",Atlantic cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Atlantic cod, meat, frozen",Atlantic cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Atlantic cod, salted or in brine",Atlantic cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Blue whiting (Micromesistius poutassou), fresh or chilled",Blue whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Blue whiting (Micromesistius poutassou), frozen",Blue whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Blue whiting fillets, frozen",Blue whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
Blue whiting meal,Blue whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Blue whiting meat, frozen",Blue whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Blue whiting, fresh or chilled",Blue whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Blue whiting, frozen",Blue whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Blue whitings (Micromesistius poutassou, Micromesistius australis), fresh or chilled",Blue whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Blue whitings (Micromesistius poutassou, Micromesistius australis), frozen",Blue whiting,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cape hake fillets, frozen",Cape hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cape hake, fresh or chilled",Cape hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cape hake, frozen",Cape hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cod fillets in blocks, frozen, nei",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
Cod liver oil,Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cod nei fillets, dried, salted or in brine",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cod nei, fillets, frozen",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cod roe, prepared",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cod roes, frozen",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cod roes, salted or sugar salted",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cod, dried, unsalted (stockfish)",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cod, meat, frozen",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cod, minced, frozen",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cod, salted and dried (klipfish)",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cods nei, dried whether or not salted",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cods nei, dried,  whether or not salted",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cods nei, dried, salted or in brine",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cods nei, fillets, fresh or chilled",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cods nei, frozen",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cods nei, salted or in brine",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cods, fresh or chilled, nei",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cods, not minced, prepared or preserved",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cods, smoked",Cods,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"European hake fillets, fresh or chilled",European hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"European hake fillets, frozen",European hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"European hake, fresh or chilled",European hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"European hake, frozen",European hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cods, hakes, haddocks, etc.  fillets in blocks, frozen, nei",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Cods, hakes, haddocks, etc. nei fillets in blocks, frozen",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes excl. Alaska pollock, meat, whether or not minced, frozen",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes fillets, fresh or chilled",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes fillets, fresh or chilled, nei",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes fillets, frozen",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes fillets, frozen, nei",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes nei, dried and salted",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes nei, dried, unsalted",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes nei, frozen",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes, dried, salted or in brine, nei",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes, dried, whether or not salted, but not smoked",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes, fillets, dried, salted or in brine, not smoked",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes, fresh or chilled, nei",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes, meals, nei",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes, meat, fresh or chilled, nei",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes, meat, whether or not minced, frozen, nei",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes, minced, prepared or preserved, nei",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes, not minced, prepared or preserved",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes, salted and dried",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes, salted or in brine, nei",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadiformes, smoked",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Gadoid fish meals, nei",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
Preparations of surimi,Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"White-fish meal, nei",Gadiformes,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Greenland cod, frozen",Greenland cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Grenadiers fillets, fresh or chilled",Grenadiers,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Grenadiers fillets, frozen",Grenadiers,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Grenadiers, fresh or chilled",Grenadiers,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Grenadiers, frozen",Grenadiers,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Haddock dried, whether or not salted, but not smoked",Haddock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Haddock fillets in blocks, frozen",Haddock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Haddock fillets, fresh or chilled",Haddock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Haddock fillets, frozen",Haddock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Haddock meat, frozen",Haddock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Haddock, fresh or chilled",Haddock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Haddock, frozen",Haddock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Haddock, minced, frozen",Haddock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Haddock, salted or in brine",Haddock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Haddock, smoked",Haddock,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hake fillets in blocks, frozen",Hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
Hake liver oil,Hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hake meat, frozen",Hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hake minced, frozen",Hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hake nei fillets, fresh or chilled",Hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hake nei fillets, frozen",Hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hake nei, fresh or chilled",Hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hake nei, frozen",Hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hake portions and sticks, frozen",Hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hake, not minced, prepared or preserved",Hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hakes nei, frozen",Hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hakes, dried, salted or in brine",Hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hakes, dried, unsalted",Hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hakes, dried, whether or not salted, but not smoked",Hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hakes, salted or in brine",Hake,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hake of the genus Urophycis, fillets, frozen",Hake of the genus Urophycis,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hake of the genus Urophycis, fresh or chilled",Hake of the genus Urophycis,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Hake of the genus Urophycis, frozen",Hake of the genus Urophycis,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Ling fillets, frozen",Ling,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Ling meat, whether or not minced, frozen",Ling,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Ling, dried, salted or in brine",Ling,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Ling, dried, whether or not salted, but not smoked",Ling,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Ling, fresh or chilled",Ling,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Ling, frozen",Ling,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Ling, minced, frozen",Ling,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Pacific cod fillets, fresh or chilled",Pacific cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
"Pacific cod fillets, frozen",Pacific cod,MARINE FISHES,"Cods, hakes, haddocks","Cods, hakes, haddocks",1
